Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Shopifly.kz ,магазин вечерней женской одежды и обуви,Обувные магазины; Женская одежда; Сумки / Кожгалантерея; Бижутерия; Солнцезащитные очки,"улица Ауэзова, 108",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.5,8,87474282095,,,,,http://Shopifly.kz,,https://instagram.com/shopifly.kz,,,,https://wa.me/77474282095,,,,,,43.233389,76.905053,https://2gis.com/firm/70000001083033044
Saks Fifth Avenue,магазин,Обувные магазины; Женская одежда; Сумки / Кожгалантерея,"проспект Аль-Фараби, 77/8",2 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.1,44,87000002727,87016471225,,,,http://viled.kz,,https://instagram.com/saks_almaty,,https://facebook.com/Saks.Fifth.Avenue.Almaty,,https://wa.me/77017848202,,,,,,43.218447,76.927322,https://2gis.com/firm/70000001028502646
Gaissina,магазин женской одежды и обуви,Обувные магазины; Женская одежда; Сумки / Кожгалантерея,"8-й микрорайон, 37/1",1 этаж,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.1,63,87017747772 (единый номер),,,,,http://gaissina.com,,https://instagram.com/gaissina_com,,,,https://wa.me/77017747772,,,,,,43.227391,76.864136,https://2gis.com/firm/70000001025409972
Best shop,магазин,Обувные магазины; Женская одежда; Мужская одежда; Детская одежда,"улица Уалиханова, 33",2 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.9,166,87083257038,,,,,,,https://instagram.com/bestshop.rezerv,,,,https://wa.me/77083257038,,,,,,43.264554,76.949665,https://2gis.com/firm/70000001041195366
Zara,магазин одежды и аксессуаров,Обувные магазины; Женская одежда; Мужская одежда; Детская одежда; Сумки / Кожгалантерея,"микрорайон Самал-2, 111",2 этаж,050051,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.1,181,87172696724,,,,,http://zara.com,,https://instagram.com/zara,,,,,,,,,,43.233529,76.955304,https://2gis.com/firm/9429940001616410
Wabi-Sabi accessories,"магазин женской одежды, сумок и аксессуаров ",Обувные магазины; Сумки / Кожгалантерея; Бижутерия; Женская одежда,"улица Желтоксан, 160",1 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,3.3,9,87075829773,87064126559,,,,,,https://instagram.com/wabi_sabi_accessories,,,,https://wa.me/77075829773,https://wa.me/77064126559,,,,,43.245227,76.941103,https://2gis.com/firm/70000001057853966
Next,бутик одежды и аксессуаров,Обувные магазины; Женская одежда; Детская одежда; Сумки / Кожгалантерея,"микрорайон Самал-2, 111",2 этаж,050051,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.2,42,87022077702,,,,,,,https://instagram.com/next.kazakhstan.official,,,,https://wa.me/77022077702,,,,,,43.233459,76.956039,https://2gis.com/firm/70000001020084410
Chic,"магазин женской одежды, аксессуаров и обуви",Обувные магазины; Женская одежда; Головные / шейные уборы; Верхняя одежда,"проспект Достык, 160",1 этаж,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,151,87756199837,,,,,,,https://instagram.com/chic_almaty,,,,https://wa.me/77756199837,,,,,,43.233871,76.959063,https://2gis.com/firm/70000001054428231
Freestyle,магазин молодежной одежды и аксессуаров,Обувные магазины; Мужская одежда; Спортивная одежда / обувь; Головные / шейные уборы; Солнцезащитные очки,"проспект Гагарина, 41",1 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:30; Вт: 10:00-19:30; Ср: 10:00-19:30; Чт: 10:00-19:30; Пт: 10:00-19:30; Сб: 10:00-19:30; Вс: 10:00-19:30,+05:00,4.7,105,87076632019,87074043469,,,,,,https://instagram.com/freestyle.kaz,,,,https://wa.me/77076632019,https://wa.me/77074043469,,,,,43.245535,76.893229,https://2gis.com/firm/70000001050208265
Trendsetter,магазин трендовой одежды и обуви,Обувные магазины; Женская одежда,"улица Жарокова, 200",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,82,87078193342,,,,,,,https://instagram.com/trendsetter_almaty,,,,https://wa.me/77078193342,,,,,,43.225811,76.901362,https://2gis.com/firm/70000001067674938
Intertop,магазин одежды и обуви,Обувные магазины; Сумки / Кожгалантерея,"улица Толе би, 125",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,2.8,42,87273551175,,,,,http://www.intertop.kz,,https://instagram.com/intertopkz,,https://facebook.com/intertop.kz,,https://wa.me/77717045301,,,,,,43.253307,76.919185,https://2gis.com/firm/70000001047271192
Go_Shopping,магазин,Обувные магазины; Женская одежда; Сумки / Кожгалантерея,"проспект Назарбаева, 48а",1 этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,2.6,67,87478813532,,,,,,,https://instagram.com/go_shopping.kz,,,,https://wa.me/77478813532,,,,,,43.262329,76.946256,https://2gis.com/firm/70000001034082401
Fitness Imperiya,магазин,Обувные магазины; Женская одежда; Спортивная одежда / обувь; Спортивный инвентарь,"улица Нурмакова, 4",,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,424,87755099997,,,,,,,https://instagram.com/fitness.imperiya,,,,https://wa.me/77755099997,,,,,,43.256977,76.906091,https://2gis.com/firm/70000001030736534
Crocs,салон обуви,Обувные магазины,"улица Розыбакиева, 263",2 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.1,32,87785208410,,,,,,,https://instagram.com/crocs.kz,,,,https://wa.me/77785208410,,,,,,43.201257,76.891798,https://2gis.com/firm/70000001038990557
Kimex,магазин,Обувные магазины; Женская одежда; Мужская одежда; Сумки / Кожгалантерея; Детская одежда,"улица Жандосова, 42",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,3.3,15,87013014206,,,,,http://kimex.kz,,https://instagram.com/kimex_grazie,,,,https://wa.me/77013014206,,,,,,43.231668,76.899323,https://2gis.com/firm/70000001041432594
Sisi Shop,бутик женской одежды,Обувные магазины; Женская одежда,"8-й микрорайон, 37/1",222 бутик; 2 этаж,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.8,114,87072555298,,,,,,,https://instagram.com/sisi_shop_,,,,https://wa.me/77072555298,,,,,,43.227694,76.864221,https://2gis.com/firm/70000001037710583
Legenda,магазин мужской одежды и обуви,Обувные магазины; Мужская одежда,"улица Тимирязева, 42 к3","8, 9 бутик; 1 этаж",050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,1.9,3,87053667484,,,,,,,https://instagram.com/legenda.official.kz,,,,https://wa.me/77053667484,,,,,,43.224924,76.909746,https://2gis.com/firm/70000001080481255
kari,"магазин обуви, аксессуаров и ювелирных изделий",Обувные магазины; Бижутерия; Сумки / Кожгалантерея; Головные / шейные уборы; Чулочно-носочные изделия,"улица Каныша Сатпаева, 90",2 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.7,36,88000801919 (горячая линия: круглосуточно),,,,,http://kz.kari.com,,https://instagram.com/kari_club,,,https://vk.com/kariclub,,,,,https://t.me/kariofficial,https://youtube.com/shopkari,43.232836,76.879063,https://2gis.com/firm/9429940001165011
Ait,дисконт-центр итальянской обуви,Обувные магазины; Сумки / Кожгалантерея,"проспект Абая, 141",Ц-15 бутик; цокольный этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-19:00,+05:00,4.5,27,87272699020,87021072266,,,,http://aitshoes.kz,,https://instagram.com/ait_outlet,,,,https://wa.me/77010840220,,,,,,43.239423,76.896059,https://2gis.com/firm/70000001043562293
UltraStore,,Обувные магазины,"улица Егизбаева, 7/10 к1",,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.5,21,87059903311,,,,,,,https://instagram.com/ultrastore.kz,,,,https://wa.me/77059903311,,,,,,43.230209,76.885055,https://2gis.com/firm/70000001078956684
Top Studio,магазин женской одежды,Обувные магазины; Женская одежда; Сумки / Кожгалантерея,"улица Каныша Сатпаева, 30в",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,2.3,3,,,,,,,,https://instagram.com/topstudio.kz,,,,,,,,,,43.235546,76.905899,https://2gis.com/firm/70000001083786332
Bershka,бутик одежды и аксессуаров,Обувные магазины; Женская одежда; Мужская одежда; Сумки / Кожгалантерея; Головные / шейные уборы,"улица Розыбакиева, 263",95 бутик; 1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.0,65,87273449234,,,,,,,https://instagram.com/bershka,https://twitter.com/bershka,https://facebook.com/bershka,,,,,,,https://youtube.com/bershka,43.201438,76.891718,https://2gis.com/firm/9429940001354475
Prada,бутик,Обувные магазины; Женская одежда; Сумки / Кожгалантерея; Мужская одежда,"проспект Аль-Фараби, 77/8",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.5,20,87273210130,,,,,http://prada.com,,,,,,,,,,,,43.218637,76.928616,https://2gis.com/firm/9429940001382235
Cotton,"магазин одежды, обуви и аксессуаров",Обувные магазины; Детская одежда; Мужская одежда; Женская одежда; Бижутерия,"проспект Гагарина, 194",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,3.7,64,87081115540,,,,,,,https://instagram.com/cottonshop_kz,,,,https://wa.me/77081115540,https://wa.me/77008008010,,,,,43.22362,76.896843,https://2gis.com/firm/70000001058712630
Intertop,магазин одежды и обуви,Обувные магазины; Сумки / Кожгалантерея,"улица Розыбакиева, 263",2 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.8,92,87273551170,,,,,http://www.intertop.kz,,https://instagram.com/intertopkz,,https://facebook.com/intertop.kz,,https://wa.me/77717045301,,,,,,43.20134,76.891558,https://2gis.com/firm/9429940001354267
